Breed,RuleType,MinAge,MaxAge,MinWeight,MaxWeight,RiskDescription,Suggestion
柴犬,Grooming,,,,,"换毛后残留浮毛会堵塞毛孔。","用吹风机逆毛吹出废毛，再用针梳收尾。"
通用幼犬,PuppyCare,0,1,,,,"免疫未完成外出易感染细小犬瘟。","完成3针联苗+狂犬前避免与陌生犬直接接触。"
通用幼犬,FirstWeekHome,0,0.1,,,,"环境改变易应激腹泻。","保持原粮分4餐，布置安静睡窝并定时喂食。"
通用幼犬,Socialization,0.1,1,,,,"3‑14周是关键社交期，错过易留下恐惧。","两针疫苗后逐步接触多种声音人狗并奖励正向体验。"
通用幼犬,Training,0.1,1,,,,"未及时咬抑制训练易形成咬手习惯。","幼犬咬手即尖叫中断并给咬胶，奖励柔口行为。"
通用幼犬,ParasiteControl,0,1,,,,"幼犬常见肠道寄生虫导致营养不良。","按2‑4‑6‑8周龄方案驱虫，之后每月1次至6个月。"
通用老年犬,SeniorCare,7,20,,,,"代谢降低，肥胖心脏病风险上升。","改用老年犬低热量处方粮，定期检测体重与血检。"
通用老年犬,Joint,7,20,,,,"软骨退化导致关节疼痛。","每日20‑30分钟轻度散步，补充软骨素鱼油并用坡道代替楼梯。"
通用老年犬,Dental,7,20,,,,"牙龈萎缩易松牙影响食欲。","每半年口腔检查，必要时拔除病牙并改用湿粮。"
通用老年犬,Weight,7,20,,,,"肌肉量下降基础代谢低。","分段喂食，增加嗅闻玩具活动，限制零食。"
通用老年犬,Training,7,20,,,,"认知衰退可能夜间吠叫迷路。","保持固定作息，用嗅觉游戏刺激认知，症状加重咨询兽医。"
边牧,Exercise,,,,,"精力极其旺盛，运动不足易焦虑或出现行为问题。","每日需要至少1.5-2小时高强度运动和脑力游戏，如飞盘、敏捷训练、复杂指令学习。"
边牧,Grooming,,,,,"中长毛，有底绒，易打结，换毛量大。","每周至少梳毛2-3次，换毛季需每日梳理，定期检查耳朵。"
边牧,Training,,,,,"非常聪明但可能固执，需要早期持续的正向训练。","利用其高智商进行响片训练或技巧学习，避免强制性方法。"
